case_id,family_id,domain,split,pattern,review_status,reviewer,decision,notes
clp-e7c700979390f7ad1206,algorithms_bfs_reachability,algorithms,development,assisted_success,pending,,,
clp-bc4b88edd4e3b3d978c6,algorithms_bfs_reachability,algorithms,development,independent_once,pending,,,
clp-bffbec225444891af742,algorithms_bfs_reachability,algorithms,development,repeated_original,pending,,,
clp-83036c36eceaf648d963,algorithms_bfs_reachability,algorithms,development,novel_transfer_once,pending,,,
clp-e25259c8cdf3e464ea85,algorithms_bfs_reachability,algorithms,development,gap_unresolved,pending,,,
clp-360c53afcd0551456ead,algorithms_bfs_reachability,algorithms,development,gap_followup_success,pending,,,
clp-ae089b2ffe6d83fbab9c,algorithms_bfs_reachability,algorithms,development,temporary_constraint_active,pending,,,
clp-5fd2307a132320d8df5a,algorithms_bfs_reachability,algorithms,development,temporary_constraint_expired,pending,,,
clp-c6ec646e9d3dfed584d9,algorithms_bfs_reachability,algorithms,development,goal_current,pending,,,
clp-a435aa2e3300c813ae29,algorithms_bfs_reachability,algorithms,development,goal_superseded,pending,,,
clp-b2a3a2e4648d881ce50e,algorithms_bfs_reachability,algorithms,development,insufficient_evidence,pending,,,
clp-718bf764ea2588a1815f,algorithms_bfs_reachability,algorithms,development,long_history_return,pending,,,
clp-226a09e83bf173eaeff0,algorithms_bfs_reachability,algorithms,development,irrelevant_invariance,pending,,,
clp-b3965f0de4bcd666a47d,algorithms_bfs_reachability,algorithms,development,scope_invariance,pending,,,
clp-c8544475409551c8eff1,algorithms_bfs_reachability,algorithms,development,future_invariance,pending,,,
clp-0fb3a42a4e44b48c4c68,algorithms_bfs_reachability,algorithms,development,source_retraction,pending,,,
clp-403b4ce327118cfa61e8,algorithms_bfs_reachability,algorithms,development,unknown_assistance_success,pending,,,
clp-6e9adace5cae69f26482,algorithms_bfs_reachability,algorithms,development,explanation_ineffective,pending,,,
clp-dff9de7ae9b1bb8c7a61,algorithms_bfs_reachability,algorithms,development,environment_failure,pending,,,
clp-db223311da50ce2a36de,algorithms_bfs_reachability,algorithms,development,team_artifact,pending,,,
clp-43c9bc00add99e4234a5,algorithms_bfs_reachability,algorithms,development,current_input_override,pending,,,
clp-0c13b8f6a8786f181d76,algorithms_bfs_reachability,algorithms,development,unjustified_correct_result,pending,,,
clp-cda4c25845f22a754aaf,algorithms_coin_inventory,algorithms,development,assisted_success,pending,,,
clp-dd962aefcfe9aef01387,algorithms_coin_inventory,algorithms,development,independent_once,pending,,,
clp-abcca7f2af73f52e302e,algorithms_coin_inventory,algorithms,development,repeated_original,pending,,,
clp-681597827bb6867f2017,algorithms_coin_inventory,algorithms,development,novel_transfer_once,pending,,,
clp-dd636587a8d41b47efe3,algorithms_coin_inventory,algorithms,development,gap_unresolved,pending,,,
clp-2fbb8eb577fdafffe031,algorithms_coin_inventory,algorithms,development,gap_followup_success,pending,,,
clp-ac50f00ea6d86347603d,algorithms_coin_inventory,algorithms,development,temporary_constraint_active,pending,,,
clp-3c0244181b22cf035990,algorithms_coin_inventory,algorithms,development,temporary_constraint_expired,pending,,,
clp-b6626d901f03c261c6fa,algorithms_coin_inventory,algorithms,development,goal_current,pending,,,
clp-7c37af21cfdfe49017a1,algorithms_coin_inventory,algorithms,development,goal_superseded,pending,,,
clp-4c7d66e436482a9c5bea,algorithms_coin_inventory,algorithms,development,insufficient_evidence,pending,,,
clp-76105e1bedacc1eaa3b1,algorithms_coin_inventory,algorithms,development,long_history_return,pending,,,
clp-654d8c40a2df2b28c393,algorithms_coin_inventory,algorithms,development,irrelevant_invariance,pending,,,
clp-26f13b70e70bd33607dd,algorithms_coin_inventory,algorithms,development,scope_invariance,pending,,,
clp-ff99f882430c2ca6802a,algorithms_coin_inventory,algorithms,development,future_invariance,pending,,,
clp-b4f48273673a9c28c168,algorithms_coin_inventory,algorithms,development,source_retraction,pending,,,
clp-a48c3285d8e244ca1590,algorithms_coin_inventory,algorithms,development,unknown_assistance_success,pending,,,
clp-765ea2e4562468dd2393,algorithms_coin_inventory,algorithms,development,explanation_ineffective,pending,,,
